C:Lspec/benchmarks/serial/data/TestExceptionReference Ljava/lang/String
M:Lspec/benchmarks/serial/data/TestExceptionReference:equals(Ljava/lang/Object,) (M)Ljava/lang/String:equals(Ljava/lang/Object)
M:Lspec/benchmarks/serial/data/TestExceptionReference:equals(Ljava/lang/Object,) (D)Ljava/lang/StringBuilder:<init>()
M:Lspec/benchmarks/serial/data/TestExceptionReference:equals(Ljava/lang/Object,) (M)Ljava/lang/StringBuilder:append(Ljava/lang/String)
M:Lspec/benchmarks/serial/data/TestExceptionReference:equals(Ljava/lang/Object,) (M)Ljava/lang/StringBuilder:toString()
C:Lspec/benchmarks/serial/data/TestExternalizable Ljava/lang/Object
M:Lspec/benchmarks/serial/data/TestExternalizable:<init>() (D)Ljava/lang/Object:<init>()
C:Lspec/benchmarks/serial/data/TestExternalizable Ljava/util/Random
M:Lspec/benchmarks/serial/data/TestExternalizable:<init>() (D)Ljava/util/Random:<init>()
M:Lspec/benchmarks/serial/data/TestExternalizable:<init>() (M)Ljava/util/Random:nextInt()
C:Lspec/benchmarks/serial/data/TestExternalizable Lspec/benchmarks/serial/data/TestExternalizable
M:Lspec/benchmarks/serial/data/TestExternalizable:<init>() (D)Lspec/benchmarks/serial/data/TestExternalizable:<init>(I)
C:Lspec/benchmarks/serial/data/TestExternalizable Ljava/io/ObjectInput
M:Lspec/benchmarks/serial/data/TestExternalizable:equals(Ljava/lang/Object,) (I)Ljava/io/ObjectInput:readInt()
C:Lspec/benchmarks/serial/data/TestExternalizable Ljava/lang/StringBuilder
M:Lspec/benchmarks/serial/data/TestExternalizable:equals(Ljava/lang/Object,) (D)Ljava/lang/StringBuilder:<init>()
M:Lspec/benchmarks/serial/data/TestExternalizable:equals(Ljava/lang/Object,) (M)Ljava/lang/StringBuilder:append(Ljava/lang/String)
M:Lspec/benchmarks/serial/data/TestExternalizable:equals(Ljava/lang/Object,) (M)Ljava/lang/StringBuilder:append(I)
M:Lspec/benchmarks/serial/data/TestExternalizable:equals(Ljava/lang/Object,) (M)Ljava/lang/StringBuilder:toString()
C:Lspec/benchmarks/serial/data/TestExternalizable Ljava/io/ObjectOutput
M:Lspec/benchmarks/serial/data/TestExternalizable:equals(Ljava/lang/Object,) (I)Ljava/io/ObjectOutput:writeInt(I)
C:Lspec/benchmarks/serial/data/TestHandler Ljava/lang/Object
M:Lspec/benchmarks/serial/data/TestHandler:<init>(ILjava/lang/Object,) (D)Ljava/lang/Object:<init>()
C:Lspec/benchmarks/serial/data/TestHandler Ljava/lang/reflect/Method
M:Lspec/benchmarks/serial/data/TestHandler:invoke(Ljava/lang/Object,Ljava/lang/reflect/Method,[Ljava/lang/Object,) (M)Ljava/lang/reflect/Method:invoke(Ljava/lang/Object,[Ljava/lang/Object)
C:Lspec/benchmarks/serial/data/TestHandler Ljava/lang/Integer
M:Lspec/benchmarks/serial/data/TestHandler:invoke(Ljava/lang/Object,Ljava/lang/reflect/Method,[Ljava/lang/Object,) (M)Ljava/lang/Integer:intValue()
M:Lspec/benchmarks/serial/data/TestHandler:invoke(Ljava/lang/Object,Ljava/lang/reflect/Method,[Ljava/lang/Object,) (S)Ljava/lang/Integer:valueOf(I)
C:Lspec/benchmarks/serial/data/TestHugeData Ljava/util/Random
M:Lspec/benchmarks/serial/data/TestHugeData:<clinit>() (D)Ljava/util/Random:<init>()
C:Lspec/benchmarks/serial/data/TestHugeData Ljava/lang/Object
M:Lspec/benchmarks/serial/data/TestHugeData:<clinit>() (D)Ljava/lang/Object:<init>()
C:Lspec/benchmarks/serial/data/TestHugeData Ljava/util/ArrayList
M:Lspec/benchmarks/serial/data/TestHugeData:<clinit>() (D)Ljava/util/ArrayList:<init>()
M:Lspec/benchmarks/serial/data/TestHugeData:<clinit>() (M)Ljava/util/Random:nextInt()
C:Lspec/benchmarks/serial/data/TestHugeData Lspec/benchmarks/serial/data/TestHugeData
M:Lspec/benchmarks/serial/data/TestHugeData:<clinit>() (S)Lspec/benchmarks/serial/data/TestHugeData:createTestInstance(I)
M:Lspec/benchmarks/serial/data/TestHugeData:<clinit>() (D)Lspec/benchmarks/serial/data/TestHugeData:<init>()
C:Lspec/benchmarks/serial/data/TestHugeData Ljava/lang/StringBuilder
